,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,2,Nott'm Forest,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,59090,0,0,1,Folarin Balogun,45,FWD,Arsenal,Nott'm Forest,Arsenal
1,2,2,Nott'm Forest,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,29866,0,0,2,Cédric Alves Soares,40,DEF,Arsenal,Nott'm Forest,Arsenal
2,3,2,Nott'm Forest,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,10880,0,0,3,Mohamed Elneny,45,MID,Arsenal,Nott'm Forest,Arsenal
3,4,2,Nott'm Forest,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,9548,0,0,4,Fábio Ferreira Vieira,55,MID,Arsenal,Nott'm Forest,Arsenal
4,5,2,Nott'm Forest,1,True,2023-08-12T12:00:00Z,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.02,50,0,2743150,0,0,5,Gabriel dos Santos Magalhães,50,DEF,Arsenal,Nott'm Forest,Arsenal
5,6,2,Nott'm Forest,2,True,2023-08-12T12:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,11,9.4,30.3,15.0,5.5,1,0.05,0.24,0.29,1.18,75,0,407159,0,0,6,Kai Havertz,75,MID,Arsenal,Nott'm Forest,Arsenal
6,7,2,Nott'm Forest,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,14196,0,0,7,Rob Holding,45,DEF,Arsenal,Nott'm Forest,Arsenal
7,8,2,Nott'm Forest,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,80,0,208581,0,0,8,Gabriel Fernando de Jesus,80,FWD,Arsenal,Nott'm Forest,Arsenal
8,9,2,Nott'm Forest,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,14497,0,0,9,Jorge Luiz Frello Filho,55,MID,Arsenal,Nott'm Forest,Arsenal
9,10,2,Nott'm Forest,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,8740,0,0,10,Jakub Kiwior,45,DEF,Arsenal,Nott'm Forest,Arsenal
10,11,2,Nott'm Forest,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,12856,0,0,11,Marcus Oliveira Alencar,45,MID,Arsenal,Nott'm Forest,Arsenal
11,12,2,Nott'm Forest,5,True,2023-08-12T12:00:00Z,2,1,1,85,0,1,0,1,0,0,0,0,0,0,0,23,25.4,42.5,8.0,7.6,1,0.00,0.22,0.22,1.16,80,0,1204797,0,0,12,Gabriel Martinelli Silva,80,MID,Arsenal,Nott'm Forest,Arsenal
12,13,2,Nott'm Forest,8,True,2023-08-12T12:00:00Z,2,1,1,72,1,0,1,0,0,0,0,0,0,0,2,26,30.2,5.9,36.0,7.2,1,0.21,0.01,0.22,0.30,55,0,210426,0,0,13,Eddie Nketiah,55,FWD,Arsenal,Nott'm Forest,Arsenal
