,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Folarin Balogun,44,FWD,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
1,2,Cédric Alves Soares,39,DEF,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
2,3,Mohamed Elneny,44,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
3,4,Fábio Ferreira Vieira,54,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
4,5,Gabriel dos Santos Magalhães,48,DEF,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
5,6,Kai Havertz,72,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
6,8,Gabriel Fernando de Jesus,79,FWD,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
7,9,Jorge Luiz Frello Filho,54,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
8,10,Jakub Kiwior,44,DEF,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
9,11,Marcus Oliveira Alencar,45,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
10,12,Gabriel Martinelli Silva,79,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
11,13,Eddie Nketiah,56,FWD,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
12,14,Martin Ødegaard,85,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
13,15,Thomas Partey,49,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
14,16,Nicolas Pépé,49,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
15,17,Aaron Ramsdale,50,GKP,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
16,18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
17,19,Bukayo Saka,87,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
18,20,William Saliba,52,DEF,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
19,22,Emile Smith Rowe,53,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
20,24,Kieran Tierney,44,DEF,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
21,25,Takehiro Tomiyasu,45,DEF,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
22,26,Leandro Trossard,66,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
23,29,Benjamin White,55,DEF,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
24,30,Granit Xhaka,60,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
25,31,Oleksandr Zinchenko,49,DEF,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
26,113,David Raya Martin,48,GKP,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
27,540,Declan Rice,54,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
28,578,Reiss Nelson,49,MID,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
29,585,Jurriën Timber,47,DEF,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
30,646,Karl Hein,40,GKP,Arsenal,Spurs,2023-09-24T13:00:00Z,True,Arsenal
31,32,Alexandre Moreno Lopera,50,DEF,Chelsea,Aston Villa,2023-09-24T13:00:00Z,False,Aston Villa
32,34,Leon Bailey,55,MID,Chelsea,Aston Villa,2023-09-24T13:00:00Z,False,Aston Villa
33,35,Emiliano Buendía Stati,58,MID,Chelsea,Aston Villa,2023-09-24T13:00:00Z,False,Aston Villa
34,36,Matty Cash,47,DEF,Chelsea,Aston Villa,2023-09-24T13:00:00Z,False,Aston Villa
35,37,Calum Chambers,40,DEF,Chelsea,Aston Villa,2023-09-24T13:00:00Z,False,Aston Villa
36,38,Philippe Coutinho Correia,58,MID,Chelsea,Aston Villa,2023-09-24T13:00:00Z,False,Aston Villa
37,39,Keinan Davis,49,FWD,Chelsea,Aston Villa,2023-09-24T13:00:00Z,False,Aston Villa
